msgid,msgstr
"The `flush_tracker` function is used to log LangChain sessions to Weights & Biases. It takes in the LangChain module or agent, and logs at minimum the prompts and generations alongside the serialized form of the LangChain module to the specified Weights & Biases project. By default we reset the session as opposed to concluding the session outright.",“flush_tracker”函数用于记录权重和偏差的LangChain会话。它接受LangChain模块或代理，并至少将提示和生成以及LangChain模块的序列化形式记录到指定的Weights&Biases项目中。默认情况下，我们重置会话，而不是直接结束会话。
Weaviate,编织的
This page covers how to use the Weaviate ecosystem within LangChain.,本页介绍了如何在LangChain中使用Weaviate生态系统。
What is Weaviate?,什么是编织？
**Weaviate in a nutshell:**,**一言以蔽之：**
Weaviate is an open-source ​database of the type ​vector search engine.,Weaviate是一个向量搜索引擎类型的开源数据库。
Weaviate allows you to store JSON documents in a class property-like fashion while attaching machine learning vectors to these documents to represent them in vector space.,Weaviate允许您以类似类属性的方式存储JSON文档，同时将机器学习向量附加到这些文档，以在向量空间中表示它们。
Weaviate can be used stand-alone (aka bring your vectors) or with a variety of modules that can do the vectorization for you and extend the core capabilities.,Weaviate可以独立使用（也称为带来你的矢量），也可以与各种模块一起使用，这些模块可以为你进行矢量化并扩展核心功能。
Weaviate has a GraphQL-API to access your data easily.,Weaviate有一个GraphQL-API可以轻松访问您的数据。
We aim to bring your vector search set up to production to query in mere milliseconds (check our [open source benchmarks](https://weaviate.io/developers/weaviate/current/benchmarks/) to see if Weaviate fits your use case).,我们的目标是将您的矢量搜索设置到生产环境中，以便在几毫秒内进行查询（查看我们的【开源基准】（https：//weaviate.io/developers/Weaviate/current/benchmarks/），看看Weaviate是否适合您的用例）。
Get to know Weaviate in the [basics getting started guide](https://weaviate.io/developers/weaviate/current/core-knowledge/basics.html) in under five minutes.,在【基础入门指南】（https：//weaviate.io/developers/Weaviate/current/core-knowledge/basics.html）中了解Weaviate。
**Weaviate in detail:**,**详细编织：**
"Weaviate is a low-latency vector search engine with out-of-the-box support for different media types (text, images, etc.). It offers Semantic Search, Question-Answer Extraction, Classification, Customizable Models (PyTorch/TensorFlow/Keras), etc. Built from scratch in Go, Weaviate stores both objects and vectors, allowing for combining vector search with structured filtering and the fault tolerance of a cloud-native database. It is all accessible through GraphQL, REST, and various client-side programming languages.",Weaviate是一个低延迟矢量搜索引擎，支持不同的媒体类型（文本、图像等）。）.它提供语义搜索、问答提取、分类、可定制模型（PyTorch/TensorFlow/Keras）等。Weaviate在Go中从头开始构建，存储对象和向量，允许将向量搜索与结构化过滤和云原生数据库的容错相结合。这一切都可以通过GraphQL、REST和各种客户端编程语言来访问。
Install the Python SDK with `pip install weaviate-client`,使用“pip安装weaviate客户端”安装Python SDK`
"There exists a wrapper around Weaviate indexes, allowing you to use it as a vectorstore, whether for semantic search or example selection.",Weaviate索引周围有一个包装器，允许您将它用作向量存储，无论是用于语义搜索还是示例选择。
"For a more detailed walkthrough of the Weaviate wrapper, see [this notebook](../modules/indexes/vectorstores/examples/weaviate.ipynb)",有关Weaviate包装器的更详细演练，请参见[本笔记本]（../modules/indexes/vectorstores/examples/weaviate.ipynb）
Wolfram Alpha Wrapper,Wolfram Alpha包装器
"This page covers how to use the Wolfram Alpha API within LangChain. It is broken into two parts: installation and setup, and then references to specific Wolfram Alpha wrappers.",本页介绍了如何在LangChain中使用Wolfram Alpha API。它分为两部分：安装和设置，然后是对特定Wolfram Alpha包装器的引用。
Install requirements with `pip install wolframalpha`,使用“pip install wolframalpha”安装要求
Go to wolfram alpha and sign up for a developer account [here](https://developer.wolframalpha.com/),转到wolfram alpha并注册一个开发者帐户[此处](https://developer.wolframalpha.com/）
Create an app and get your APP ID,创建应用程序并获取应用程序ID
Set your APP ID as an environment variable `WOLFRAM_ALPHA_APPID`,将应用程序ID设置为环境变量“WOLFRAM_ALPHA_APPID”
There exists a WolframAlphaAPIWrapper utility which wraps this API. To import this utility:,存在一个WolframAlphaAPIWrapper实用程序来包装这个API。要导入此实用程序，请执行以下操作：
"For a more detailed walkthrough of this wrapper, see [this notebook](../modules/agents/tools/examples/wolfram_alpha.ipynb).",有关此包装器的更详细演练，请参见[本笔记本]（../modules/agents/tools/examples/wolfram_alpha.ipynb）。
Writer,作家
"This page covers how to use the Writer ecosystem within LangChain. It is broken into two parts: installation and setup, and then references to specific Writer wrappers.",本页介绍了如何在LangChain中使用Writer生态系统。它分为两部分：安装和设置，然后是对特定Writer包装器的引用。
Get an Writer api key and set it as an environment variable (`WRITER_API_KEY`),获取一个编写器api密钥并将其设置为环境变量（`WRITER_API_KEY`）
"There exists an Writer LLM wrapper, which you can access with",存在一个Writer LLM包装器，您可以使用
Yeager.ai,耶格尔·艾
This page covers how to use [Yeager.ai](https://yeager.ai) to generate LangChain tools and agents.,本页介绍了如何使用【Yeager.ai】（https：//Yeager.ai）来生成LangChain工具和代理。
What is Yeager.ai?,什么是耶格尔。艾？
Yeager.ai is an ecosystem designed to simplify the process of creating AI agents and tools.,耶格尔。人工智能是一个生态系统，旨在简化创建人工智能代理和工具的过程。
"It features yAgents, a No-code LangChain Agent Builder, which enables users to build, test, and deploy AI solutions with ease. Leveraging the LangChain framework, yAgents allows seamless integration with various language models and resources, making it suitable for developers, researchers, and AI enthusiasts across diverse applications.",它以yAgents为特色，这是一个无代码的LangChain代理构建器，使用户能够轻松构建、测试和部署人工智能解决方案。利用LangChain框架，yAgents允许与各种语言模型和资源无缝集成，使其适合不同应用程序的开发人员、研究人员和人工智能爱好者。
yAgents,yAgents
"Low code generative agent designed to help you build, prototype, and deploy Langchain tools with ease.",低代码生成代理，旨在帮助您轻松构建、原型化和部署Langchain工具。
How to use?,怎么用？
Go to http://127.0.0.1:7860,转到http://127.0.0.1:7860
"This will install the necessary dependencies and set up yAgents on your system. After the first run, yAgents will create a .env file where you can input your OpenAI API key. You can do the same directly from the Gradio interface under the tab ""Settings"".",这将在您的系统上安装必要的依赖项并设置yAgents。第一次运行后，yAgents将创建一个。env文件，您可以在其中输入OpenAI API密钥。您可以直接从Gradio界面的“设置”选项卡下执行相同的操作。
`OPENAI_API_KEY=<your_openai_api_key_here>`,`openai_api_key=<your_openai_api_key_here>`
"We recommend using GPT-4,. However, the tool can also work with GPT-3 if the problem is broken down sufficiently.",我们建议使用GPT-4。然而，如果问题被充分分解，该工具也可以与GPT-3一起工作。
Creating and Executing Tools with yAgents,使用yAgents创建和执行工具
yAgents makes it easy to create and execute AI-powered tools. Here's a brief overview of the process:,yAgents使创建和执行人工智能工具变得容易。以下是流程的简要概述：
"Create a tool: To create a tool, provide a natural language prompt to yAgents. The prompt should clearly describe the tool's purpose and functionality. For example: `create a tool that returns the n-th prime number`",创建工具：要创建工具，请向yAgents提供自然语言提示。提示应该清楚地描述工具的用途和功能。例如：`创建一个返回第n个质数的工具`
"Load the tool into the toolkit: To load a tool into yAgents, simply provide a command to yAgents that says so. For example: `load the tool that you just created it into your toolkit`",将工具加载到工具包中：要将工具加载到yAgents，只需向yAgents提供一个命令。例如：`将刚刚创建的工具加载到工具包中`
"Execute the tool: To run a tool or agent, simply provide a command to yAgents that includes the name of the tool and any required parameters. For example: `generate the 50th prime number`",执行工具：要运行工具或代理，只需向yAgents提供一个命令，其中包括工具的名称和任何必需的参数。例如：“生成第50个质数”
You can see a video of how it works [here](https://www.youtube.com/watch?v=KA5hCM3RaWE).,你可以在这里看到它是如何工作的视频（https：//www.youtube.com/watch？v=Ka 5 HCM 3 Rawe）。
"As you become more familiar with yAgents, you can create more advanced tools and agents to automate your work and enhance your productivity.",随着您对yAgents越来越熟悉，您可以创建更高级的工具和代理来自动化您的工作并提高您的工作效率。
"For more information, see [yAgents' Github](https://github.com/yeagerai/yeagerai-agent) or our [docs](https://yeagerai.gitbook.io/docs/general/welcome-to-yeager.ai)",欲了解更多信息，请参阅[yAgents'Github](https://github.com/yeagerai/yeagerai-agent）或我们的[docs](https://yeagerai.gitbook.io/docs/general/welcome-to-yeager.ai）
Zilliz,齐利兹
"This page covers how to use the Zilliz Cloud ecosystem within LangChain. Zilliz uses the Milvus integration.  It is broken into two parts: installation and setup, and then references to specific Milvus wrappers.",本页介绍了如何在LangChain中使用Zilliz云生态系统。Zilliz使用Milvus集成。它分为两部分：安装和设置，然后是对特定Milvus包装器的引用。
"There exists a wrapper around Zilliz indexes, allowing you to use it as a vectorstore, whether for semantic search or example selection.",Zilliz索引周围有一个包装器，允许您将它用作vectorstore，无论是用于语义搜索还是示例选择。
"For a more detailed walkthrough of the Miluvs wrapper, see [this notebook](../modules/indexes/vectorstores/examples/zilliz.ipynb)",有关Miluvs包装器的更详细演练，请参见[本笔记本]（../modules/indexes/vectorstores/examples/zilliz.ipynb）
LangChain Gallery,LangChain画廊
"Lots of people have built some pretty awesome stuff with LangChain. This is a collection of our favorites. If you see any other demos that you think we should highlight, be sure to let us know!",很多人用LangChain构建了一些非常棒的东西。这是我们最喜欢的收藏。如果您看到任何其他您认为我们应该强调的演示，请务必告诉我们！
Open Source,开放源码
"This is an experiment in building a large-language-model-backed chatbot. It can hold a conversation, remember previous comments/questions, and answer all types of queries (history, web search, movie data, weather, news, and more).",这是一个构建大型语言模型支持的聊天机器人的实验。它可以进行对话，记住以前的评论/问题，并回答所有类型的查询（历史、网络搜索、电影数据、天气、新闻等）。
"An end-to-end example of doing question answering on YouTube transcripts, returning the timestamps as sources to legitimize the answer.",在YouTube抄本上做问题回答的端到端示例，返回时间戳作为来源以使答案合法化。
This application is a Slack Bot that uses Langchain and OpenAI's GPT3 language model to provide domain specific answers. You provide the documents.,这个应用程序是一个Slack Bot，它使用Langchain和OpenAI的GPT 3语言模型来提供特定领域的答案。你提供文件。
"A central, open resource and community around data and tools related to chain-of-thought reasoning in large language models.",围绕大型语言模型中与思维链推理相关的数据和工具的中心、开放资源和社区。
"This Python package adds a decorator llm_strategy that connects to an LLM (such as OpenAI’s GPT-3) and uses the LLM to ""implement"" abstract methods in interface classes. It does this by forwarding requests to the LLM and converting the responses back to Python data using Python's @dataclasses.",这个Python包添加了一个decorator llm_strategy，它连接到一个LLM（比如OpenAI的GPT-3），并使用LLM在接口类中“实现”抽象方法。它通过将请求转发到LLM并使用Python的@dataclasses将响应转换回Python数据来实现这一点。
A notebook showing how to use GPT to help with the work of a corporate lobbyist.,一本展示如何利用GPT帮助企业游说者工作的笔记本。
A jupyter notebook demonstrating how you could create a semantic search engine on documents in one of your Google Folders,jupyter笔记本演示了如何在Google文件夹中的文档上创建语义搜索引擎
"Build a GitHub support bot with GPT3, LangChain, and Python.",用GPT 3、LangChain和Python构建一个GitHub支持机器人。
"Record sounds of anything (birds, wind, fire, train station) and chat with it.",记录任何东西的声音（鸟、风、火、火车站）并与之聊天。
"This simple application demonstrates a conversational agent implemented with OpenAI GPT-3.5 and LangChain. When necessary, it leverages tools for complex math, searching the internet, and accessing news and weather.",这个简单的应用程序演示了一个用OpenAI GPT-3.5和LangChain实现的会话代理。必要时，它利用复杂的数学工具，搜索互联网，访问新闻和天气。
A Hugging Face spaces project showing off the benefits of using PAL for math problems.,一个拥抱面部空间项目展示了使用PAL解决数学问题的好处。
Measure the political compass of GPT.,衡量GPT的政治指南针。
Open source GitHub project shows how to use LangChain to create a chatbot that can answer questions about an arbitrary Notion database.,开源GitHub项目展示了如何使用LangChain创建一个聊天机器人，它可以回答关于任意概念数据库的问题。
LlamaIndex (formerly GPT Index) is a project consisting of a set of data structures that are created using GPT-3 and can be traversed using GPT-3 in order to answer queries.,LlamaIndex（以前的GPT索引）是一个由一组使用GPT-3创建的数据结构组成的项目，可以使用GPT-3遍历这些数据结构以回答查询。
"Leveraging Qiskit, OpenAI and LangChain to demonstrate Grover's algorithm",利用Qiskit、OpenAI和LangChain演示Grover算法
"A chat UI to play Nim, where a player can select an opponent, either a quantum computer or an AI",一个玩Nim的聊天界面，玩家可以选择一个对手，一个量子计算机或者一个AI
Leveraging the ReActTextWorldAgent to play TextWorld with an LLM!,利用ReActTextWorldAgent用LLM玩文本世界！
This repo is a simple demonstration of using LangChain to do fact-checking with prompt chaining.,这个repo是使用LangChain通过提示链接进行事实检查的简单演示。
Answer questions about the documentation of any project,回答有关任何项目文档的问题
Misc. Colab Notebooks,杂项Colab笔记本
Give ChatGPT a WolframAlpha neural implant,给ChatGPT植入WolframAlpha神经
Agent improvements (6th Jan 2023),代理改进（2023年1月6日）
Langchain AGI (23rd Dec 2022),Langchain AGI（2022年12月23日）
Proprietary,专有的
A chat-based AI personal assistant with long-term memory about you.,一个基于聊天的人工智能个人助理，对你有长期记忆。
"Summarize not only long docs, interview audio or video files quickly, but also entire websites and YouTube videos. Share or download your generated summaries to collaborate with others, or revisit them at any time! Bonus: `@anysummary <https://twitter.com/anysummary>`_ on Twitter will also summarize any thread it is tagged in.",不仅可以总结长文档，快速采访音频或视频文件，还可以总结整个网站和YouTube视频。共享或下载您生成的摘要以与他人协作，或随时重温它们！额外奖励：Twitter上的`@anysummary<https：//twitter.com/anysummary>`_还会总结它被标记的任何线程。
"An app to write SQL using natural language, and execute against real DB.",一个使用自然语言编写SQL并对真实数据库执行的应用程序。
Stack Tracing QA Bot to help debug complex stack tracing (especially the ones that go multi-function/file deep).,堆栈跟踪QA Bot帮助调试复杂的堆栈跟踪（尤其是多功能/文件深度的堆栈跟踪）。
"By Raza Habib, this demo utilizes LangChain + SerpAPI + HumanLoop to write sales emails. Give it a company name and a person, this application will use Google Search (via SerpAPI) to get more information on the company and the person, and then write them a sales message.",由Raza Habib制作，这个演示利用LangChain+SerpAPI+HumanLoop来编写销售电子邮件。给它一个公司名称和一个人，这个应用程序将使用谷歌搜索（通过SerpAPI）来获得更多关于公司和这个人的信息，然后给他们写一条销售信息。
"By Zahid Khawaja, this demo utilizes question answering to answer questions about a given website. A followup added this for `YouTube videos <https://twitter.com/chillzaza_/status/1593739682013220865?s=20&t=EhU8jl0KyCPJ7vE9Rnz-cQ>`_, and then another followup added it for `Wikipedia <https://twitter.com/chillzaza_/status/1594847151238037505?s=20&t=EhU8jl0KyCPJ7vE9Rnz-cQ>`_.",由Zahid Khawaja，这个演示利用问答来回答关于给定网站的问题。一个后续为“YouTube视频<https：//twitter”添加了这个。com/chill zaza_/status/1593739682013220865？s=20&t=ehu 8 jl 0 kycpj 7 ve 9 rnz-cq>`_，然后另一个后续为`Wikipedia<https：//twitter.com/chill zaza_/status/1594847151238037505？s=20&t=ehu 8 jl 0 kycpj 7 ve 9 rnz-cq>`_添加了这个。
A journaling app for self-care that uses AI to uncover insights and patterns over time.,一个用于自我保健的日志应用程序，使用人工智能来揭示一段时间内的见解和模式。
Quickstart Guide,快速入门指南
This tutorial gives you a quick walkthrough about building an end-to-end language model application with LangChain.,本教程为您提供了一个关于使用LangChain构建端到端语言模型应用程序的快速演练。
"To get started, install LangChain with the following command:",若要开始，请使用以下命令安装LangChain：
Environment Setup,环境设置
"Using LangChain will usually require integrations with one or more model providers, data stores, apis, etc.",使用LangChain通常需要与一个或多个模型提供者、数据存储、API等集成。
"For this example, we will be using OpenAI's APIs, so we will first need to install their SDK:",对于本例，我们将使用OpenAI的API，因此我们首先需要安装他们的SDK：
We will then need to set the environment variable in the terminal.,然后，我们需要在终端中设置环境变量。
"Alternatively, you could do this from inside the Jupyter notebook (or Python script):",或者，您可以在Jupyter笔记本（或Python脚本）中执行此操作：
Building a Language Model Application: LLMs,构建语言模型应用程序：LLMs
"Now that we have installed LangChain and set up our environment, we can start building our language model application.",现在我们已经安装了LangChain并设置了我们的环境，我们可以开始构建我们的语言模型应用程序了。
"LangChain provides many modules that can be used to build language model applications. Modules can be combined to create more complex applications, or be used individually for simple applications.",LangChain提供了许多可用于构建语言模型应用程序的模块。模块可以组合起来创建更复杂的应用程序，也可以单独用于简单的应用程序。
LLMs: Get predictions from a language model,LLMs：从语言模型中获取预测
"The most basic building block of LangChain is calling an LLM on some input. Let's walk through a simple example of how to do this.  For this purpose, let's pretend we are building a service that generates a company name based on what the company makes.",LangChain最基本的构建模块是对一些输入调用LLM。让我们通过一个简单的例子来说明如何做到这一点。为此，让我们假设我们正在构建一个基于公司产品生成公司名称的服务。
"In order to do this, we first need to import the LLM wrapper.",为此，我们首先需要导入LLM包装器。
"We can then initialize the wrapper with any arguments. In this example, we probably want the outputs to be MORE random, so we'll initialize it with a HIGH temperature.",然后，我们可以用任何参数初始化包装器。在本例中，我们可能希望输出更加随机，因此我们将用高温初始化它。
We can now call it on some input!,我们现在可以根据一些输入调用它了！
"For more details on how to use LLMs within LangChain, see the [LLM getting started guide](../modules/models/llms/getting_started.ipynb).",有关如何在LangChain中使用LLM的更多详细信息，请参见[LLM入门指南]（../modules/models/LLMs/getting_started.ipynb）。
Prompt Templates: Manage prompts for LLMs,提示模板：管理LLMs的提示
"Calling an LLM is a great first step, but it's just the beginning. Normally when you use an LLM in an application, you are not sending user input directly to the LLM. Instead, you are probably taking user input and constructing a prompt, and then sending that to the LLM.",打电话给LLM是很好的第一步，但这仅仅是开始。通常，当您在应用程序中使用LLM时，您不会将用户输入直接发送到LLM。相反，您可能会接受用户输入并构造一个提示，然后将其发送到LLM。
"For example, in the previous example, the text we passed in was hardcoded to ask for a name for a company that made colorful socks. In this imaginary service, what we would want to do is take only the user input describing what the company does, and then format the prompt with that information.",例如，在前面的示例中，我们传入的文本被硬编码，以询问一家生产彩色袜子的公司的名称。在这个假想的服务中，我们想要做的是只获取描述公司工作的用户输入，然后用该信息格式化提示。
This is easy to do with LangChain!,用LangChain很容易做到这一点！
First lets define the prompt template:,首先让我们定义提示模板：
Let's now see how this works! We can call the `.format` method to format it.,现在让我们看看这是如何工作的！我们可以调用`.format’方法来格式化它。
"[For more details, check out the getting started guide for prompts.](../modules/prompts/chat_prompt_template.ipynb)",[有关更多详细信息，请查看提示入门指南。](../modules/prompts/chat_prompt_template.ipynb）
Chains: Combine LLMs and prompts in multi-step workflows,链：在多步骤工作流中组合LLM和提示
"Up until now, we've worked with the PromptTemplate and LLM primitives by themselves. But of course, a real application is not just one primitive, but rather a combination of them.",到目前为止，我们已经单独使用了PromptTemplate和LLM原语。但是当然，一个真正的应用程序不仅仅是一个原语，而是它们的组合。
"A chain in LangChain is made up of links, which can be either primitives like LLMs or other chains.",LangChain中的链由链接组成，链接可以是LLMs之类的原语，也可以是其他链。
"The most core type of chain is an LLMChain, which consists of a PromptTemplate and an LLM.",最核心的链类型是LLMChain，它由PromptTemplate和LLM组成。
"Extending the previous example, we can construct an LLMChain which takes user input, formats it with a PromptTemplate, and then passes the formatted response to an LLM.",扩展前面的例子，我们可以构造一个LLMChain，它接受用户输入，用PromptTemplate格式化它，然后将格式化的响应传递给LLM。
"We can now create a very simple chain that will take user input, format the prompt with it, and then send it to the LLM:",我们现在可以创建一个非常简单的链，它将接受用户输入，用它格式化提示符，然后将其发送到LLM：
Now we can run that chain only specifying the product!,现在我们可以只指定产品来运行该链了！
"There we go! There's the first chain - an LLM Chain. This is one of the simpler types of chains, but understanding how it works will set you up well for working with more complex chains.",我们走吧！这是第一条链LLM链。这是较简单的链类型之一，但是了解它的工作原理将使您能够很好地处理更复杂的链。
"[For more details, check out the getting started guide for chains.](../modules/chains/getting_started.ipynb)",[有关更多详细信息，请查看链入门指南。](../modules/chains/getting_started.ipynb）
Agents: Dynamically Call Chains Based on User Input,代理：基于用户输入动态调用链
So far the chains we've looked at run in a predetermined order.,到目前为止，我们看到的链是按照预定的顺序运行的。
"Agents no longer do: they use an LLM to determine which actions to take and in what order. An action can either be using a tool and observing its output, or returning to the user.",代理不再这样做：他们使用LLM来决定采取哪些行动以及采取什么顺序。动作可以是使用工具并观察其输出，也可以是返回给用户。
"When used correctly agents can be extremely powerful. In this tutorial, we show you how to easily use agents through the simplest, highest level API.",如果使用得当，代理可以非常强大。在本教程中，我们将向您展示如何通过最简单、最高级别的API轻松使用代理。
"In order to load agents, you should understand the following concepts:",为了加载代理，您应该了解以下概念：
"Tool: A function that performs a specific duty. This can be things like: Google Search, Database lookup, Python REPL, other chains. The interface for a tool is currently a function that is expected to have a string as an input, with a string as an output.",工具：执行特定职责的功能。这可以是：谷歌搜索，数据库查找，Python REPL，其他链。工具的接口目前是一个函数，它期望有一个字符串作为输入，一个字符串作为输出。
LLM: The language model powering the agent.,LLM：为代理提供动力的语言模型。
"Agent: The agent to use. This should be a string that references a support agent class. Because this notebook focuses on the simplest, highest level API, this only covers using the standard supported agents. If you want to implement a custom agent, see the documentation for custom agents (coming soon).",代理：要使用的代理。这应该是一个引用支持代理类的字符串。因为本笔记本侧重于最简单、最高级别的API，所以这只包括使用标准支持的代理。如果您想要实现自定义代理，请参见自定义代理的文档（即将推出）。
"**Agents**: For a list of supported agents and their specifications, see [here](../modules/agents/agents.md).",**代理**：有关支持的代理及其规范的列表，请参见[此处]（../modules/agents/agents.md）。
"**Tools**: For a list of predefined tools and their specifications, see [here](../modules/agents/tools.md).",**工具**：有关预定义工具及其规格的列表，请参见[此处]（../modules/agents/tools.md）。
"For this example, you will also need to install the SerpAPI Python package.",对于本例，您还需要安装SerpAPI Python包。
And set the appropriate environment variables.,并设置适当的环境变量。
Now we can get started!,现在我们可以开始了！
Memory: Add State to Chains and Agents,内存：向链和代理添加状态
"So far, all the chains and agents we've gone through have been stateless. But often, you may want a chain or agent to have some concept of ""memory"" so that it may remember information about its previous interactions. The clearest and simple example of this is when designing a chatbot - you want it to remember previous messages so it can use context from that to have a better conversation. This would be a type of ""short-term memory"". On the more complex side, you could imagine a chain/agent remembering key pieces of information over time - this would be a form of ""long-term memory"". For more concrete ideas on the latter, see this [awesome paper](https://memprompt.com/).",到目前为止，我们经历过的所有连锁店和代理商都是无国籍的。但通常，您可能希望链或代理具有一些“记忆”的概念，以便它可以记住关于其先前交互的信息。这方面最清晰和简单的例子是在设计聊天机器人时——你希望它记住以前的消息，这样它就可以使用上下文进行更好的对话。这将是一种“短期记忆”。在更复杂的方面，你可以想象一个链/代理随着时间的推移记住关键信息——这将是一种“长期记忆”的形式。关于后者的更多具体想法，请参见这篇【awesome paper】（https：//memprompt.com/）。
LangChain provides several specially created chains just for this purpose. This notebook walks through using one of those chains (the `ConversationChain`) with two different types of memory.,LangChain专门为此提供了几个专门创建的链。这款笔记本使用其中一个链（“ConversationChain”）和两种不同类型的内存。
"By default, the `ConversationChain` has a simple type of memory that remembers all previous inputs/outputs and adds them to the context that is passed. Let's take a look at using this chain (setting `verbose=True` so we can see the prompt).",默认情况下，“ConversationChain”有一个简单类型的内存，它记住所有以前的输入/输出，并将它们添加到传递的上下文中。让我们看看如何使用这个链（设置“verbose=True”，这样我们就可以看到提示）。
Building a Language Model Application: Chat Models,构建语言模型应用程序：聊天模型
"Similarly, you can use chat models instead of LLMs. Chat models are a variation on language models. While chat models use language models under the hood, the interface they expose is a bit different: rather than expose a ""text in, text out"" API, they expose an interface where ""chat messages"" are the inputs and outputs.",同样，您可以使用聊天模型来代替LLM。聊天模型是语言模型的变体。虽然聊天模型在引擎盖下使用语言模型，但它们公开的接口有点不同：它们不是公开“文本输入，文本输出”API，而是公开一个接口，其中“聊天消息”是输入和输出。
"Chat model APIs are fairly new, so we are still figuring out the correct abstractions.",聊天模型API相当新，所以我们仍在找出正确的抽象。
Get Message Completions from a Chat Model,从聊天模型获取消息完成
"You can get chat completions by passing one or more messages to the chat model. The response will be a message. The types of messages currently supported in LangChain are `AIMessage`, `HumanMessage`, `SystemMessage`, and `ChatMessage` -- `ChatMessage` takes in an arbitrary role parameter. Most of the time, you'll just be dealing with `HumanMessage`, `AIMessage`, and `SystemMessage`.",您可以通过向聊天模型传递一条或多条消息来完成聊天。响应将是一条消息。LangChain目前支持的消息类型有“AIMessage”、“HumanMessage”、“SystemMessage”和“ChatMessage”-“ChatMessage”接受任意角色参数。大多数时候，你只是在处理“人类信息”、“目标信息”和“系统信息”。
You can get completions by passing in a single message.,您可以通过传入一条消息来完成。
You can also pass in multiple messages for OpenAI's gpt-3.5-turbo and gpt-4 models.,你也可以为OpenAI的gpt-3.5-turbo和gpt-4型号传递多条消息。
You can go one step further and generate completions for multiple sets of messages using `generate`. This returns an `LLMResult` with an additional `message` parameter:,您可以更进一步，使用“generate”为多组消息生成完成。这将返回一个带有附加“message”参数的“LLMResult”：
You can recover things like token usage from this LLMResult:,您可以从这个LLMResult恢复令牌使用情况：
Chat Prompt Templates,聊天提示模板
"Similar to LLMs, you can make use of templating by using a `MessagePromptTemplate`. You can build a `ChatPromptTemplate` from one or more `MessagePromptTemplate`s. You can use `ChatPromptTemplate`'s `format_prompt` -- this returns a `PromptValue`, which you can convert to a string or `Message` object, depending on whether you want to use the formatted value as input to an llm or chat model.",与LLMs类似，您可以通过使用“MessagePromptTemplate”来利用模板。您可以从一个或多个“消息提示模板”构建“聊天提示模板”。您可以使用“ChatPromptTemplate”的“format_prompt”——这将返回一个“PromptValue”，您可以将其转换为字符串或“Message”对象，这取决于您是想使用格式化值作为llm还是聊天模型的输入。
"For convience, there is a `from_template` method exposed on the template. If you were to use this template, this is what it would look like:",为了方便起见，在模板上公开了一个“from_template”方法。如果要使用此模板，它将如下所示：
Chains with Chat Models,带有聊天模型的链
The `LLMChain` discussed in the above section can be used with chat models as well:,上一节中讨论的“LLMChain”也可以用于聊天模型：
Agents with Chat Models,具有聊天模型的座席
"Agents can also be used with chat models, you can initialize one using `AgentType.CHAT_ZERO_SHOT_REACT_DESCRIPTION` as the agent type.",代理也可以与聊天模型一起使用，您可以使用“AgentType.CHAT_ZERO_SHOT_REACT_DESCRIPTION”作为代理类型来初始化一个代理。
"You can use Memory with chains and agents initialized with chat models. The main difference between this and Memory for LLMs is that rather than trying to condense all previous messages into a string, we can keep them as their own unique memory object.",您可以将内存用于用聊天模型初始化的链和代理。这与LLM的内存之间的主要区别在于，我们可以将它们作为自己唯一的内存对象，而不是试图将所有以前的消息压缩到一个字符串中。
Glossary,词汇表
"This is a collection of terminology commonly used when developing LLM applications. It contains reference to external papers or sources where the concept was first introduced, as well as to places in LangChain where the concept is used.",这是开发LLM应用程序时常用的术语集。它包含对首次引入该概念的外部论文或来源的引用，以及对LangChain中使用该概念的地方的引用。
Chain of Thought Prompting,思维链提示
A prompting technique used to encourage the model to generate a series of intermediate reasoning steps. A less formal way to induce this behavior is to include “Let’s think step-by-step” in the prompt.,一种提示技术，用于鼓励模型生成一系列中间推理步骤。诱导这种行为的一种不太正式的方式是在提示中包含“让我们一步一步地思考”。
Resources:,资源：
[Chain-of-Thought Paper](https://arxiv.org/pdf/2201.11903.pdf),[思维链文件](https://arxiv.org/pdf/2201.11903.pdf）
[Step-by-Step Paper](https://arxiv.org/abs/2112.00114),[分步文件](https://arxiv.org/abs/2112.00114）
Action Plan Generation,行动计划生成
A prompt usage that uses a language model to generate actions to take. The results of these actions can then be fed back into the language model to generate a subsequent action.,使用语言模型生成要采取的操作的提示用法。然后，这些动作的结果可以反馈到语言模型中，以生成后续的动作。
[WebGPT Paper](https://arxiv.org/pdf/2112.09332.pdf),[WebGPT文件](https://arxiv.org/pdf/2112.09332.pdf）
[SayCan Paper](https://say-can.github.io/assets/palm_saycan.pdf),[SayCan Paper](https://say-can.github.io/assets/palm_saycan.pdf）
ReAct Prompting,反应提示
"A prompting technique that combines Chain-of-Thought prompting with action plan generation. This induces the to model to think about what action to take, then take it.",一种将思维链提示与行动计划生成相结合的提示技术。这导致to模型考虑采取什么行动，然后采取行动。
[Paper](https://arxiv.org/pdf/2210.03629.pdf),[论文](https://arxiv.org/pdf/2210.03629.pdf）
[LangChain Example](modules/agents/agents/examples/react.ipynb),[LangChain示例]（模块/代理/代理/示例/react.ipynb）
Self-ask,自问
